Truck Registration,Driver License,Total Kilometers,Day,Month,Year
AAA-111,DRV-001,55,01,05,2025
BBB-222,DRV-002,88,15,06,2025
CCC-333,DRV-003,23,22,07,2025
AAA-111,DRV-001,92,10,08,2025
EEE-555,DRV-005,12,03,09,2025
FFF-666,DRV-006,76,28,09,2025
GGG-777,DRV-007,39,05,10,2025
BBB-222,DRV-002,61,18,10,2025
III-999,DRV-009,47,25,11,2025
JJJ-000,DRV-010,19,08,12,2025
AAA-111,DRV-001,31,12,01,2026
LLL-222,DRV-012,79,30,01,2026
MMM-333,DRV-013,5,07,02,2026
NNN-444,DRV-014,95,19,02,2026
EEE-555,DRV-005,28,01,03,2026
PPP-666,DRV-016,68,16,03,2026
QQQ-777,DRV-017,41,29,03,2026
BBB-222,DRV-002,16,09,04,2026
SSS-999,DRV-019,82,23,04,2026
TTT-000,DRV-020,3,06,05,2026
AAA-111,DRV-001,69,17,05,2026
UUU-222,DRV-022,52,27,05,2026
VVV-333,DRV-023,98,04,06,2026
WWW-444,DRV-024,35,20,06,2026
EEE-555,DRV-005,71,11,07,2026
XXX-666,DRV-026,18,26,07,2026
YYY-777,DRV-027,85,02,08,2026
BBB-222,DRV-002,44,19,08,2026
ZZZ-999,DRV-029,7,29,08,2026
AAA-111,DRV-001,29,07,09,2026
A1A-111,DRV-031,63,21,09,2026
B2B-222,DRV-032,91,09,10,2026
C3C-333,DRV-033,38,24,10,2026
D4D-444,DRV-034,58,14,11,2026
EEE-555,DRV-005,14,27,11,2026
F5F-666,DRV-036,73,04,12,2026
G6G-777,DRV-037,49,20,12,2026
BBB-222,DRV-002,2,31,12,2026
I8I-999,DRV-039,89,11,01,2027
J9J-000,DRV-040,33,25,01,2027
AAA-111,DRV-001,77,05,02,2027
K1K-111,DRV-042,6,18,02,2027
L2L-222,DRV-043,66,02,03,2027
M3M-333,DRV-044,99,22,03,2027
EEE-555,DRV-005,21,10,04,2027
N4N-444,DRV-046,51,26,04,2027
O5O-555,DRV-047,81,03,05,2027
BBB-222,DRV-002,11,17,05,2027
Q6Q-666,DRV-049,74,30,05,2027
R7R-777,DRV-050,45,08,06,2027
AAA-111,DRV-001,37,19,06,2027
S8S-888,DRV-052,9,29,06,2027
T9T-999,DRV-053,59,07,07,2027
U0U-000,DRV-054,93,21,07,2027
EEE-555,DRV-005,26,01,08,2027
V1V-111,DRV-056,65,15,08,2027
W2W-222,DRV-057,42,28,08,2027
BBB-222,DRV-002,17,05,09,2027
Y3Y-333,DRV-059,87,18,09,2027
Z4Z-444,DRV-060,30,25,09,2027
AAA-111,DRV-001,70,10,10,2027
1AA-111,DRV-062,4,22,10,2027
2BB-222,DRV-063,60,03,11,2027
3CC-333,DRV-064,96,16,11,2027
EEE-555,DRV-005,15,29,11,2027
4DD-444,DRV-066,83,06,12,2027
5EE-555,DRV-067,22,19,12,2027
BBB-222,DRV-002,53,30,12,2027
6FF-666,DRV-069,78,12,01,2028
7GG-777,DRV-070,36,26,01,2028
AAA-111,DRV-001,94,02,02,2028
8HH-888,DRV-072,1,15,02,2028
9II-999,DRV-073,67,28,02,2028
0JJ-000,DRV-074,40,10,03,2028
EEE-555,DRV-005,27,24,03,2028
A2A-111,DRV-076,57,07,04,2028
B2B-222,DRV-077,8,20,04,2028
BBB-222,DRV-002,72,01,05,2028
C2C-333,DRV-079,32,14,05,2028
D2D-444,DRV-080,64,27,05,2028
AAA-111,DRV-001,10,05,06,2028
E2E-555,DRV-082,84,18,06,2028
F2F-666,DRV-083,46,30,06,2028
EEE-555,DRV-005,19,12,07,2028
G2G-777,DRV-086,75,25,07,2028
BBB-222,DRV-002,5,02,08,2028
H2H-888,DRV-088,62,16,08,2028
I2I-999,DRV-089,34,29,08,2028
AAA-111,DRV-001,97,09,09,2028
J2J-000,DRV-091,20,21,09,2028
K2K-111,DRV-092,50,04,10,2028
EEE-555,DRV-005,89,17,10,2028
L2L-222,DRV-094,2,30,10,2028
BBB-222,DRV-002,68,07,11,2028
M2M-333,DRV-096,43,20,11,2028
N2N-444,DRV-097,70,01,12,2028
AAA-111,DRV-001,13,14,12,2028
O2O-555,DRV-099,80,27,12,2028
P2P-666,DRV-100,39,03,01,2029
